district_1,cluster_t,village_t,ev_month,Overall Compliance,Agric Compliance,WASH Compliance,Livestock Compliance,vlsa_membership,Compost Compliance,compost_heap_base,compost_standard_size,windrow_size_dimension,heap_covered,compost_demarcated,forms_non_bio,composts_watered_regularly,composts_manure_usuage,organic_manure_received,Drying Method,sorting_grading_done,post_harvest_sys_present,Post harvest handling,Water control Practice,Soil Management Practice,Vegetable gardening Practices,latrine_present,latrine_cover_present,latrine_floor_sealed,latrine_door_present,latrine_walls_sealed,latrine_roofleak_proof,latrine_environ_free_debris,latri_environ_free_feaces,tippy_tap_present,tippy_fill_water,soap_ash_present,tippy_tap_wet_area,cloth_hangline,kitchen_present,kitchen_ventilated,kitchen_clean,bathroom_present,bath_drainage_present,bathroom_clean,compound_clean,double_dishrack,non_bio_waste_properly_sorted,livestock_present_1,livestock_present_2,gs_pen_constr,gs_pen_constr,gs_droppings_composted,livestock_present_3,pg_sty_constr,pg_sty_clean,pg_droppings_composted,livestock_present_4,cow_kraal_constr,kraal_clean,cow_droppings_composted,KAP Livestock,KAP Agriculture
Nyabihu,Mwiyanike,Gitebe,600.0,92.28695947826898,97.73065476190477,92.73193428088939,76.66666666666666,93.75,68.87755102040816,85.71428571428571,42.857142857142854,42.857142857142854,57.14285714285714,33.33333333333333,71.42857142857143,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.75,93.75,68.75,100.0,87.5,93.33333333333333,100.0,93.75,100.0,86.66666666666667,93.33333333333333,100.0,93.75,93.33333333333333,93.33333333333333,125.0,84.61538461538461,84.61538461538461,92.3076923076923,87.5,100.0,6.25,6.25,50.0,50.0,100.0,12.5,100.0,100.0,100.0,31.25,40.0,100.0,100.0,31.25,100.0
Nyabihu,Mwiyanike,Ryamwana,600.0,90.85137085137086,98.96825396825396,91.36363636363637,57.4074074074074,100.0,81.42857142857143,100.0,60.0,60.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.33333333333333,100.0,53.333333333333336,100.0,80.0,93.33333333333333,100.0,93.33333333333333,85.71428571428571,71.42857142857143,78.57142857142857,100.0,100.0,100.0,93.33333333333333,113.33333333333333,92.85714285714286,100.0,92.85714285714286,93.33333333333333,100.0,0.0,20.0,66.66666666666666,66.66666666666666,66.66666666666666,6.666666666666667,100.0,100.0,0.0,33.33333333333333,0.0,,100.0,66.66666666666666,100.0
Nyabihu,Mwiyanike,Kivuruga,600.0,90.07863959798944,98.41269841269842,96.96602365642613,53.290043290043286,100.0,64.28571428571429,50.0,75.0,75.0,0.0,,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0,80.0,93.33333333333333,86.66666666666667,,,93.33333333333333,92.85714285714286,85.71428571428571,92.85714285714286,100.0,100.0,86.66666666666667,80.0,160.0,100.0,100.0,100.0,100.0,100.0,0.0,40.0,16.666666666666664,16.666666666666664,100.0,20.0,66.66666666666666,50.0,100.0,46.666666666666664,0.0,,100.0,13.333333333333334,93.33333333333333
Nyabihu,Mwiyanike,Ryanyirandaba,600.0,85.37599655246714,96.82539682539682,90.85319255907491,51.66666666666667,93.33333333333333,74.02597402597402,72.72727272727273,72.72727272727273,72.72727272727273,18.181818181818183,,100.0,81.81818181818183,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,93.33333333333333,46.666666666666664,93.33333333333333,80.0,,,80.0,100.0,58.333333333333336,50.0,100.0,73.33333333333333,100.0,90.9090909090909,213.33333333333334,100.0,83.33333333333334,100.0,85.71428571428571,100.0,20.0,40.0,0.0,0.0,100.0,26.666666666666668,75.0,66.66666666666666,100.0,40.0,0.0,,100.0,13.333333333333334,100.0
Nyabihu,Mwiyanike,Musaraba,600.0,85.19742659158295,88.5515873015873,92.78744990819293,56.666666666666664,93.33333333333333,40.68877551020408,50.0,0.0,0.0,28.57142857142857,0.0,92.85714285714286,28.57142857142857,100.0,93.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0,93.33333333333333,93.33333333333333,66.66666666666666,93.33333333333333,93.33333333333333,6.666666666666667,86.66666666666667,86.66666666666667,100.0,100.0,100.0,93.33333333333333,53.333333333333336,100.0,37.5,246.66666666666669,75.0,100.0,100.0,100.0,100.0,0.0,0.0,,,,6.666666666666667,0.0,,100.0,60.0,44.44444444444444,25.0,88.88888888888889,33.33333333333333,100.0
Nyabihu,Mwiyanike,Mucundebo,600.0,85.01260504201682,98.57142857142858,95.09803921568628,53.047619047619044,93.33333333333333,78.57142857142856,83.33333333333334,83.33333333333334,83.33333333333334,0.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0,80.0,93.33333333333333,100.0,,,93.33333333333333,100.0,85.71428571428571,85.71428571428571,100.0,100.0,86.66666666666667,93.33333333333333,113.33333333333333,100.0,92.85714285714286,100.0,86.66666666666667,100.0,6.666666666666667,40.0,16.666666666666664,16.666666666666664,100.0,40.0,33.33333333333333,100.0,100.0,93.33333333333333,0.0,,100.0,13.333333333333334,100.0
Nyabihu,Mwiyanike,Kayanza,600.0,82.94458470522711,94.4047619047619,88.78103011539544,50.0,86.66666666666667,44.047619047619044,44.44444444444444,0.0,0.0,44.44444444444444,0.0,88.88888888888889,33.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,93.33333333333333,46.666666666666664,93.33333333333333,80.0,33.33333333333333,73.33333333333333,86.66666666666667,100.0,84.61538461538461,100.0,100.0,73.33333333333333,100.0,63.63636363636363,200.0,100.0,100.0,71.42857142857143,100.0,93.33333333333333,6.666666666666667,20.0,50.0,50.0,75.0,13.333333333333334,0.0,,50.0,40.0,0.0,,100.0,33.33333333333333,100.0
Nyabihu,Mwiyanike,Nyankukuma,600.0,75.0595811228042,98.99749373433583,89.09548533591224,60.71428571428571,47.368421052631575,87.3015873015873,100.0,77.77777777777779,88.88888888888889,55.55555555555556,,100.0,88.88888888888889,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.73684210526315,83.33333333333334,94.44444444444444,44.44444444444444,88.88888888888889,77.77777777777779,86.66666666666667,93.33333333333333,55.55555555555556,90.0,90.0,100.0,94.73684210526315,100.0,84.21052631578947,84.21052631578947,142.10526315789474,100.0,100.0,80.0,94.73684210526315,100.0,0.0,15.789473684210526,0.0,0.0,66.66666666666666,15.789473684210526,100.0,100.0,100.0,52.63157894736842,30.0,66.66666666666666,100.0,78.94736842105263,100.0
Nyabihu,Rwantobo,Rwandarugari,600.0,87.73182699653287,97.43589743589743,86.2285753462224,46.19047619047619,100.0,71.42857142857143,100.0,57.14285714285714,42.857142857142854,71.42857142857143,,85.71428571428571,57.14285714285714,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.92307692307693,69.23076923076923,15.384615384615385,69.23076923076923,76.92307692307693,54.54545454545454,100.0,92.3076923076923,100.0,83.33333333333334,91.66666666666666,100.0,69.23076923076923,100.0,88.88888888888889,146.15384615384613,100.0,100.0,90.0,92.3076923076923,100.0,0.0,15.384615384615385,0.0,0.0,100.0,0.0,,,,46.15384615384615,0.0,,100.0,0.0,100.0
Nyabihu,Rwantobo,Musenyi,600.0,87.68080182631266,98.0,98.68280326484661,59.09090909090909,86.66666666666667,87.5,87.5,75.0,75.0,87.5,,100.0,87.5,100.0,100.0,86.66666666666667,100.0,100.0,95.55555555555554,100.0,100.0,100.0,100.0,93.33333333333333,100.0,60.0,100.0,80.0,100.0,100.0,100.0,100.0,93.33333333333333,100.0,100.0,93.33333333333333,100.0,100.0,153.33333333333334,100.0,100.0,90.9090909090909,100.0,100.0,6.666666666666667,13.333333333333334,66.66666666666666,66.66666666666666,66.66666666666666,13.333333333333334,50.0,100.0,100.0,60.0,0.0,,100.0,80.0,100.0
Nyabihu,Rwantobo,Gasura,600.0,87.27962213842873,94.43824404761905,91.71905783844639,48.48484848484848,100.0,46.60714285714286,60.0,0.0,0.0,50.0,0.0,90.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.25,100.0,56.25,87.5,93.75,43.75,100.0,100.0,93.75,93.75,93.75,100.0,68.75,100.0,81.81818181818183,175.0,90.0,90.0,60.0,93.75,100.0,0.0,6.25,0.0,0.0,100.0,0.0,,,,62.5,0.0,,100.0,6.25,100.0
Nyabihu,Rwantobo,Rurembo,600.0,87.25633714410804,97.31092436974791,96.26794258373205,52.820512820512825,94.11764705882352,89.61038961038962,90.9090909090909,81.81818181818183,81.81818181818183,72.72727272727273,,100.0,100.0,100.0,100.0,94.11764705882352,100.0,100.0,98.03921568627452,100.0,100.0,94.11764705882352,100.0,94.11764705882352,100.0,70.58823529411765,100.0,94.11764705882352,100.0,100.0,94.11764705882352,100.0,93.75,100.0,100.0,88.23529411764706,100.0,93.33333333333333,100.0,100.0,100.0,94.11764705882352,100.0,100.0,5.88235294117647,5.88235294117647,50.0,50.0,100.0,5.88235294117647,100.0,0.0,100.0,70.58823529411765,0.0,,100.0,41.17647058823529,100.0
Nyabihu,Rwantobo,Ntango,600.0,86.01902483481432,98.80952380952381,96.58236500341764,48.61111111111111,92.85714285714286,80.0,100.0,40.0,60.0,80.0,,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.85714285714286,100.0,78.57142857142857,92.85714285714286,100.0,64.28571428571429,100.0,100.0,100.0,100.0,100.0,100.0,92.85714285714286,100.0,76.92307692307693,150.0,100.0,100.0,60.0,100.0,100.0,0.0,7.142857142857142,0.0,0.0,100.0,0.0,,,,78.57142857142857,0.0,,100.0,0.0,100.0
Nyabihu,Rwantobo,Karambi,600.0,79.54728950403691,89.41176470588236,93.0565167243368,52.22222222222223,82.35294117647058,70.0,88.88888888888889,77.77777777777779,77.77777777777779,0.0,,100.0,100.0,100.0,88.23529411764706,88.23529411764706,94.11764705882352,94.11764705882352,92.15686274509804,94.11764705882352,94.11764705882352,88.23529411764706,88.23529411764706,86.66666666666667,100.0,66.66666666666666,100.0,100.0,,,100.0,100.0,80.0,86.66666666666667,88.23529411764706,70.58823529411765,91.66666666666666,100.0,188.23529411764704,88.88888888888889,100.0,100.0,86.66666666666667,88.23529411764706,0.0,23.52941176470588,0.0,0.0,100.0,17.647058823529413,33.33333333333333,100.0,100.0,47.05882352941176,12.5,100.0,100.0,11.76470588235294,88.23529411764706
